Source,Target,Weight
00-0023564,00-0026069,628.32
00-0021678,00-0026201,988.8999999999999
00-0022127,00-0026201,643.8
00-0023921,00-0026201,638.62
00-0022084,00-0026289,657.32
00-0022921,00-0026289,1118.22
00-0022999,00-0026176,1278.32
00-0023459,00-0026176,4318.460000000001
00-0024330,00-0026176,66.32000000000001
00-0023560,00-0025549,166.52
00-0023560,00-0026189,334.41999999999996
00-0023560,00-0026257,17.82
00-0025549,00-0026189,1496.92
00-0025549,00-0026257,82.62
00-0026189,00-0026257,161.42
00-0023578,00-0025389,481.70000000000005
00-0023578,00-0025430,104.02000000000001
00-0025389,00-0025430,602.54
00-0024268,00-0025396,317.32000000000005
00-0024268,00-0025612,158.32000000000002
00-0024268,00-0026197,650.96
00-0025396,00-0025612,119.82
00-0025396,00-0026197,335.02
00-0025612,00-0026197,8.4
00-0024417,00-0026158,1766.2
00-0024535,00-0026143,1533.1000000000001
00-0024535,00-0026224,281.12000000000006
00-0026143,00-0026224,2018.82
00-0025399,00-0026151,198.42
00-0025418,00-0026184,929.52
00-0025418,00-0026282,95.12
00-0026184,00-0026282,253.22
00-0004091,00-0023645,40.44
00-0007091,00-0023742,362.58000000000004
00-0007091,00-0026373,582.5
00-0023742,00-0026373,227.20000000000002
00-0019596,00-0026293,2308.06
00-0019596,00-0026625,1807.8600000000001
00-0019596,00-0027057,678.96
00-0019596,00-0027150,4491.06
00-0022943,00-0026293,104.12
00-0022943,00-0026625,90.6
00-0022943,00-0027057,77.52
00-0022943,00-0027150,322.8
00-0026293,00-0026625,31.759999999999998
00-0026293,00-0027057,85.92
00-0026293,00-0027150,746.6
00-0026625,00-0027057,105.58
00-0026625,00-0027150,325.88
00-0027057,00-0027150,162.42
00-0020679,00-0026986,136.94
00-0023436,00-0026986,1185.36
00-0023500,00-0026986,1860.1200000000001
00-0024221,00-0026986,1477.1200000000001
00-0024389,00-0026986,679.3199999999999
00-0021206,00-0025708,75.61999999999999
00-0025708,00-0026153,394.82
00-0021429,00-0027103,222.82
00-0021678,00-0027139,894.4000000000001
00-0022127,00-0027139,419.22
00-0023921,00-0027139,490.32000000000005
00-0026201,00-0027139,67.12
00-0022787,00-0027109,1049.3
00-0025460,00-0027109,290.72
00-0022864,00-0024243,250.93999999999997
00-0022864,00-0027125,87.34
00-0024243,00-0027125,313.72
00-0022924,00-0026901,1611.76
00-0022924,00-0026957,1341.36
00-0023465,00-0026901,1039.32
00-0023465,00-0026957,367.32000000000005
00-0026901,00-0026957,527.32
00-0023534,00-0023662,266.0
00-0023534,00-0023740,5.72
00-0023534,00-0026213,422.96000000000004
00-0023662,00-0023740,170.28
00-0023662,00-0026213,1233.78
00-0023740,00-0026213,199.42
00-0023682,00-0025399,167.6
00-0023894,00-0026300,61.86
00-0024110,00-0024264,21.86
00-0024110,00-0026019,22.919999999999998
00-0024110,00-0026898,419.22
00-0024264,00-0026019,223.93999999999997
00-0024264,00-0026898,427.56
00-0026019,00-0026898,186.44
00-0024226,00-0025418,679.08
00-0024226,00-0026184,2878.4399999999996
00-0025389,00-0026157,137.42
00-0025389,00-0026498,3061.3599999999997
00-0025430,00-0026157,11.379999999999999
00-0025430,00-0026498,243.86
00-0026157,00-0026498,131.20000000000002
00-0025549,00-0026995,1172.72
00-0025549,00-0027029,1781.72
00-0026189,00-0026995,1110.82
00-0026189,00-0027029,1847.1200000000001
00-0026995,00-0027029,1668.92
00-0026144,00-0026393,989.74
00-0026144,00-0026983,778.9200000000001
00-0026144,00-0027089,582.4200000000001
00-0026144,00-0027135,631.12
00-0026393,00-0026983,486.62
00-0026393,00-0027089,317.92
00-0026393,00-0027135,338.82000000000005
00-0026983,00-0027089,382.32000000000005
00-0026983,00-0027135,412.72
00-0027089,00-0027135,407.52000000000004
00-0026158,00-0026999,215.26
00-0026158,00-0027060,466.34000000000003
00-0026999,00-0027060,10.92
00-0026164,00-0027006,1474.7199999999998
00-0026164,00-0027061,1135.22
00-0027006,00-0027061,874.6200000000001
