ID,name,team,position,college_name,college_conference,fantasy_points
00-0036429,Charlie Woerner,ATL,TE,Georgia,Southeastern Conference,16.0
00-0036438,Stephen Sullivan,CAR,TE,Louisiana State,Southeastern Conference,17.0
00-0036442,Joe Burrow,CIN,QB,Louisiana State,Southeastern Conference,1479.0
00-0036450,Ke'Shawn Vaughn,SF,RB,Vanderbilt,Southeastern Conference,75.0
00-0036463,Chris Blair,ATL,WR,Alcorn State,Southwestern Athletic Conference,1.0
00-0036497,Tim Jones,JAX,WR,Southern Mississippi,Conference USA,15.0
00-0036510,Kenny Yeboah,NYJ,TE,Mississippi,Southeastern Conference,17.0
00-0036527,D.J. Turner,LV,WR,Pittsburgh,Atlantic Coast Conference,33.0
00-0036534,Shane Zylstra,DET,TE,Minn. State-Mankato,Northern Sun Intercollegiate Conference,35.0
00-0036550,Rashod Bateman,BAL,WR,Minnesota,Big Ten Conference,295.0
00-0036554,Nico Collins,HOU,WR,Michigan,Big Ten Conference,482.0
00-0036555,Chuba Hubbard,CAR,RB,Oklahoma State,Big Twelve Conference,530.0
00-0036556,Brevin Jordan,HOU,TE,Miami,Atlantic Coast Conference,96.0
00-0036563,Deommodore Lenoir,SF,CB,Oregon,Pacific Twelve Conference,6.0
00-0036590,Quintin Morris,BUF,TE,Bowling Green,Mid-American Conference,32.0
00-0036613,Jaylen Waddle,MIA,WR,Alabama,Southeastern Conference,555.0
00-0036620,D'Wayne Eskridge,MIA,WR,Western Michigan,Mid-American Conference,30.0
00-0036626,Dyami Brown,WAS,WR,North Carolina,Atlantic Coast Conference,131.0
00-0036628,John Bates,WAS,TE,Boise State,Mountain West Conference,72.0
00-0036630,Tylan Wallace,BAL,WR,Oklahoma State,Big Twelve Conference,42.0
00-0036635,Ihmir Smith-Marsette,NYG,WR,Iowa,Big Ten Conference,53.0
00-0036637,Noah Gray,KC,TE,Duke,Atlantic Coast Conference,180.0
00-0036640,Zach Davidson,BUF,TE,Central Missouri,Mid-America Intercollegiate Athletic Association,0.0
00-0036646,Simi Fehoko,LAC,WR,Stanford,Pacific Twelve Conference,19.0
00-0036670,Jermar Jefferson,DET,RB,Oregon State,Pacific Twelve Conference,24.0
00-0036727,Adam Prentice,NO,FB,South Carolina,Southeastern Conference,4.0
00-0036741,Jack Stoll,PHI,TE,Nebraska,Big Ten Conference,19.0
00-0036754,Brock Wright,DET,TE,Notre Dame,Independent,109.0
00-0036825,Feleipe Franks,CAR,TE,Arkansas,Southeastern Conference,0.0
00-0036841,Austin Trammell,JAX,WR,Rice,Conference USA,8.0
00-0036842,Kene Nwangwu,NYJ,RB,Iowa State,Big Twelve Conference,35.0
00-0036849,Tutu Atwell,LA,WR,Louisville,Atlantic Coast Conference,187.0
00-0036862,Ben Skowronek,PIT,WR,Notre Dame,Independent,80.0
00-0036875,Rhamondre Stevenson,NE,RB,Oklahoma,Big Twelve Conference,537.0
00-0036876,Kylen Granson,IND,TE,Southern Methodist,American Athletic Conference,102.0
00-0036877,Jaelon Darden,CLE,WR,North Texas,Conference USA,8.0
00-0036880,Penei Sewell,DET,T,Oregon,Pacific Twelve Conference,0.0
00-0036887,Luke Farrell,JAX,TE,Ohio State,Big Ten Conference,31.0
00-0036893,Najee Harris,PIT,RB,Alabama,Southeastern Conference,756.0
00-0036894,Pat Freiermuth,PIT,TE,Penn State,Big Ten Conference,336.0
00-0036898,Davis Mills,HOU,QB,Stanford,Pacific Twelve Conference,365.0
00-0036900,Ja'Marr Chase,CIN,WR,Louisiana State,Southeastern Conference,898.0
00-0036906,Khalil Herbert,CIN,RB,Virginia Tech,Atlantic Coast Conference,287.0
00-0036912,DeVonta Smith,PHI,WR,Alabama,Southeastern Conference,632.0
00-0036913,Kadarius Toney,CLE,WR,Florida,Southeastern Conference,124.0
00-0036919,Kenneth Gainwell,PHI,RB,Memphis,American Athletic Conference,318.0
00-0036924,Michael Carter,ARI,RB,North Carolina,Atlantic Coast Conference,263.0
00-0036928,Kyle Trask,TB,QB,Florida,Southeastern Conference,0.0
00-0036945,Justin Fields,PIT,QB,Ohio State,Big Ten Conference,772.0
00-0036955,Terrace Marshall,LV,WR,Louisiana State,Southeastern Conference,88.0
00-0036963,Amon-Ra St. Brown,DET,WR,Southern California,Pacific Twelve Conference,759.0
00-0036970,Kyle Pitts,ATL,TE,Florida,Southeastern Conference,324.0
00-0036971,Trevor Lawrence,JAX,QB,Clemson,Atlantic Coast Conference,938.0
00-0036972,Mac Jones,JAX,QB,Alabama,Southeastern Conference,612.0
00-0036973,Travis Etienne,JAX,RB,Clemson,Atlantic Coast Conference,509.0
00-0036980,Elijah Moore,CLE,WR,Mississippi,Southeastern Conference,280.0
00-0036984,Trey Sermon,IND,RB,Ohio State,Big Ten Conference,82.0
00-0036988,Josh Palmer,LAC,WR,Tennessee,Southeastern Conference,297.0
00-0036990,Divine Deablo,LV,MLB,Virginia Tech,Atlantic Coast Conference,3.0
00-0036997,Javonte Williams,DEN,RB,North Carolina,Atlantic Coast Conference,430.0
00-0037004,Hunter Long,LA,TE,Boston College,Atlantic Coast Conference,14.0
00-0037005,Tommy Tremble,CAR,TE,Notre Dame,Independent,139.0
00-0037012,Trey Lance,DAL,QB,North Dakota State,Missouri Valley Football Conference,90.0
00-0037077,Sam Howell,SEA,QB,North Carolina,Atlantic Coast Conference,273.0
00-0037085,Tyler Badie,DEN,RB,Missouri,Southeastern Conference,15.0
00-0037086,Grant Calcaterra,PHI,TE,Southern Methodist,American Athletic Conference,48.0
00-0037091,Bo Melton,GB,WR,Rutgers,Big Ten Conference,54.0
00-0037093,Dareke Young,SEA,WR,Lenoir-Rhyne,South Atlantic Conference,3.0
00-0037120,Tyler Goodson,IND,RB,Iowa,Big Ten Conference,45.0
00-0037129,Josh Blackwell,CHI,CB,Duke,Atlantic Coast Conference,6.0
00-0037132,Britain Covey,PHI,WR,Utah,Pacific Twelve Conference,7.0
00-0037156,Irvin Charles,NYJ,WR,"Indiana, Pa.",Pennsylvania State Athletic Conference,0.0
00-0037197,Isiah Pacheco,KC,RB,Rutgers,Big Ten Conference,427.0
